category,text
disaster,"cape town rietvlei has been indefinitely closed for recreational use at the table bay nature reserve owing to pollution. this is to allow for the testing of water quality the city said sunday. the city of cape town would like to advise that all those who make use of the rietvlei for recreational activities this waterbody will be subject to temporary closure for all recreational use. this is due to results of sampling which indicate the water quality has deteriorated below levels deemed safe for intermedia recreational contact the city said. the vlei would remain closed for recreational purposes until testing confirmed the water was safe to use again. rietvlei offers a number of recreational activities including picnic areas water sports and nature watching. the rietvlei wetland is in the floodplain of the diep river between milnerton and table view that drains into table bay via the milnerton lagoon. the wetland offers a variety of habitats including a permanent freshwater lake shallow marshes that flood in winter reed beds a river and an estuarine lagoon with salt marshes that is open to the sea. cape times . """
arts,"people attend a free outdoor event organized by the broadway league as celebrations during juneteenth take place at times square saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. students from university prep art design celebrate juneteenth by repainting a street mural power to the people in downtown detroit on saturday june 19 2021. opal lee 94 reacts to one of the many signs held by those participating in her annual juneteenth walk on saturday june 19 2021 in fort worth texas. lee has been advocating for juneteenth to be a federal holiday for many years and succeeded in her goal when president joe biden signed a bill on thursday making juneteenth a national holiday. community members march through fort worth s historic southside during opal lee s annual juneteenth walk on saturday june 19 2021 in fort worth texas. lee has been advocating for juneteenth to be a federal holiday for many years and succeeded in her goal when president joe biden signed a bill on thursday making juneteenth a national holiday. opal lee 94 walks towards downtown during the first nationally recognized juneteenth holiday on saturday june 19 2021 in fort worth texas. lee makes the mile walk to symbolize the two and a half years it took for slaves in texas to realize they had been freed. selena quinn from left lavon fisher wilson and traci coleman perform during a free outdoor event organized by the broadway league as juneteenth s celebrations take place at times square saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. people try to see a free outdoor event organized by the broadway league as celebrations take place during juneteenth at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. people attend a free outdoor event organized by the broadway league during juneteenth celebrations at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. people watch a free outdoor event organized by the broadway league during juneteenth celebrations at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. women wait to perform during a free outdoor event organized by the broadway league during juneteenth celebrations at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. people wait to perform during a free outdoor event organized by the broadway league during juneteenth celebrations at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. people attend a free outdoor event organized by the broadway league as celebrations during juneteenth take place at times square saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. students from university prep art design celebrate juneteenth by repainting a street mural power to the people in downtown detroit on saturday june 19 2021. opal lee 94 reacts to one of the many signs held by those participating in her annual juneteenth walk on saturday june 19 2021 in fort worth texas. lee has been advocating for juneteenth to be a federal holiday for many years and succeeded in her goal when president joe biden signed a bill on thursday making juneteenth a national holiday. community members march through fort worth s historic southside during opal lee s annual juneteenth walk on saturday june 19 2021 in fort worth texas. lee has been advocating for juneteenth to be a federal holiday for many years and succeeded in her goal when president joe biden signed a bill on thursday making juneteenth a national holiday. opal lee 94 walks towards downtown during the first nationally recognized juneteenth holiday on saturday june 19 2021 in fort worth texas. lee makes the mile walk to symbolize the two and a half years it took for slaves in texas to realize they had been freed. selena quinn from left lavon fisher wilson and traci coleman perform during a free outdoor event organized by the broadway league as juneteenth s celebrations take place at times square saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. people try to see a free outdoor event organized by the broadway league as celebrations take place during juneteenth at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. people attend a free outdoor event organized by the broadway league during juneteenth celebrations at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. people watch a free outdoor event organized by the broadway league during juneteenth celebrations at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. women wait to perform during a free outdoor event organized by the broadway league during juneteenth celebrations at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. people wait to perform during a free outdoor event organized by the broadway league during juneteenth celebrations at times square on saturday june 19 2021 in new york. parades picnics and lessons in history marked juneteenth celebrations in the a day that marks the arrival of news to enslaved black people in a texas town that the confederacy had surrendered in 1865 and they were free. parades picnics and lessons in history were offered saturday to commemorate juneteenth in the a day that carried even more significance after congress and president joe biden created a federal holiday to observe the end of slavery. in detroit which is about 80 black students from university prep art design school dodged rain to repaint massey s block long message power to the people which was created last year on downtown woodward avenue. the o in power was a red fist in memory of george floyd and other victims of excessive force by police massey said. juneteenth commemorates june 19 1865 when union soldiers brought the news of freedom to enslaved black people in galveston texas two months after the confederacy had surrendered. it was about 2 1 2 years after the emancipation proclamation freed slaves in southern states. biden on thursday signed a bill creating juneteenth national independence day. since june 19 fell on a saturday the government observed the holiday friday. at least nine states have designated it in law as an official paid state holiday all but one acting after floyd a black man was killed last year in minneapolis. in galveston the birthplace of the holiday celebrations included the dedication of a 5000 square foot mural titled absolute equality. opal lee 94 who was at biden s side when he signed the bill returned to fort worth texas to lead a mile walk symbolizing the 2 1 2 years it took for slaves in texas to find out they d been freed. officials in bristol rhode island unveiled a marker that describes the seaport s role in the slave trade. the marker was placed at the linden place museum a mansion built by gen. george dewolf who was a slave trader. the rhode island slave history medallion organization raises public awareness about the state s role in slavery. a street in fort lauderdale florida was renamed saturday for civil rights activists harry and harriette moore. harry was credited with registering more than 100000 black voters. they were killed on christmas day 1951 their 25th wedding anniversary when a bomb exploded under their bed. they were ordinary people who brought about extraordinary change and we are privileged to pay tribute to them here in broward county county commissioner dale holness said before the event. hundreds of people gathered for a free concert in new york s times square organized by the broadway league the trade group for the broadway entertainment industry. a juneteenth parade was held in evanston illinois a chicago suburb that is using tax revenue from marijuana sales to offer housing grants to black residents for past discrimination and the lingering effects of slavery. al sharpton offered a tough message during a speech at his national action network saying senate republicans who voted unanimously to make juneteenth a federal holiday should also support democratic bills that change voting laws and make it easier to crack down on rogue police officers. the celebration of juneteenth is not a party. the way to deal with juneteenth now is to deal with where race is in 2021 sharpton said. in portland maine joe kings said his great great great grandmother was enslaved. he has a picture of her on the wall of his auto detailing shop. as he has for years kings commemorated juneteenth with barbecue for adults and activities for kids. """
health,"enid okla. two new cardiologists have joined st. mary s regional medical center s medical staff giving northwest oklahoma residents greater access to cardiology services. according to a press release from st. mary s doctors nikunjkumar patel and charisse ward were welcomed to the hospital s team of providers. they will both join st. mary s cardiology clinic 310 e. patel started monday and ward will start next month on july 6. we are proud to be adding these two specialists both of whom have stellar credentials to our cardiology team krista roberts ceo of st. mary s said in the release. patel who started working monday received his medical degree from the university bristol medical school in bristol united kingdom. he completed his residency at east tennessee state university quillen dishner college of medicine johnson city tennessee and completed his fellowship at saint mary medical center university of california los angeles long beach california according to the press release. he is certified by the american board of internal medicine internal medicine cardiovascular diseases and interventional cardiology. ward who will start on july 6 received her medical degree from boston university. she completed her residency at yale new haven hospital in connecticut where she also completed her fellowships in interventional cardiology peripheral vascular cardiology and advanced heart failure heart transplant the release said. she is certified by the american board of internal medicine internal medicine cardiovascular disease and interventional cardiology and the american board of vascular medicine endovascular medicine according to the release. ward has served as general medical officer at the naval branch health clinic in athens georgia and has published a number of articles on peripheral arterial disease and other cardiology topics. in office services for patel and ward will include cardiac wellness diagnostic prescription medication and management pacemaker and defibrillator follow up arrhythmia care heart failure care ekg portable electrocardiogram ecg holter monitor device and more the release said. in hospital cardiac services include diagnostic catheterization radial access coronary intervention temporary and permanent pacemakers peripheral diagnostic and intervention icd defibrillator implantation intra aortic balloon pump coronary ct angiography cardiac computed tomography vascular ultrasound cardioversion and others the release said. we want to remind patients who have a cardiac condition or are living with heart failure to know they can receive quality care right here in enid roberts said. for more information on st. mary s cardiology services visit to schedule an appointment call the hospital s physician referral service at 580 249 3741. """
science,"it computer sciences 54 the group of educators gathered at arkansas tech university for the 2021 arkansas computer science and computing educator academy is representative of the variety found in arkansas schools and arkansas communities. i love the diversity of backgrounds said johnny key commissioner of the arkansas department of education while addressing the program participants on thursday. i think we have covered about all of the traditional areas of teaching. you are here because you want to do something that is important. it s important because our world has changed drastically. we must have students who are prepared to live in that world and do good with the technology that is out there. the governor has been very clear because our world has changed arkansas needs to be at the forefront and is now at the forefront of computer science education he added. acscea which is overseen by the arkansas department of education office of computer science is providing more than 20 arkansas residents who are employed by an arkansas public school district or intend to teach within an arkansas public school district with tuition free access to six credit hours of graduate study. according to information provided by ade program participants are learning basic computer science receive preparation for passing the computer science content knowledge praxis exam gain approval to teach high school computer science courses earn post secondary credits for academy completion and expand skills in specialized areas aligned to state adopted programs of study. grant funds from ade are covering the costs of enrollment and tuition for all participants. the roster of educators participating in the program includes rebecca ayers jessica blair thomas carreira anita cegers coleman debra charvat cheryl cox megan harley dean renee fernimen rachel fish dylan glover tracy griffin kawia higginbottom sheila hopson jo keeney john maxwell sheri maxwell blake medlock mark mitchell desha nelson darrell shaw jodi taintor and ginger wray. anthony owen state director of computer science for the arkansas department of education and a team that includes mark barnes jim furniss kelly griffin eli mcrae and zack spink are helping facilitate and deliver the curriculum. participants will be required to complete a total of three weeks 90 hours of training and will have multiple options to choose from for the final week which will be provided by the ade office of computer science during july. the two arkansas tech classes are aligned to courses within the atu master of science degree in information technology. the degree is offered by the atu college of engineering and applied sciences under the auspices of the atu department of computer and information science. sarah burnett who serves as stem project coordinator within the atu office of research and sponsored programs is the project coordinator for acscea 2021. key expressed his appreciation to arkansas tech for its collaboration in making the acscea possible. this came about really quickly said key. we birthed an idea and it happened because of a great partnership with arkansas tech. a lot of great things came together to make this happen. """
lifestyle,"brisbane is suddenly aflush with a new group of millionaires after three locals walked away with division one prizes in the weekend s saturday gold lotto superdraw. the south east queenslanders held three of the 14 division one winning entries across australia in saturday gold lotto draw 4165 drawn saturday 19 june 2021. each division one winning entry took home this morning an official from the lott confirmed the life changing win with a carindale man who made the incredible discovery yesterday. his division one winning entry was purchased at nextra carindale news shop 2004a westfield carindale 1151 creek road carindale. nextra carindale news store manager tracy renwick said they d been sharing the excitement and joy with their customers. the last time we sold a division one winning entry was in 2017 so we are very happy she said. we would like to congratulate our division one winner and wish them the greatest happiness with their prize. we are just so thrilled and excited to have sold this division one winning entry . victoria point woman kicks off her week with million dollar news . when an official from the lott called the victoria point woman this morning she had no idea her life was about to change in a very exciting way. the victoria point woman purchased her division one winning entry online at australia s official lotteries. new farm retiree lost for words over million dollar win . this morning a new farm resident was struggling to put into words how he felt about his million dollar prize. he purchased his division one winning entry at premier news casket shop 5 83 merthyr road new farm. premier news casket employee lakisha milley said the outlet had sold many division one winning entries over the years and they were thrilled a regular customer had added to the tally. he comes in every day to buy a lottery ticket and the paper. it is so nice to see it go to a local. the winning numbers in saturday gold lotto draw 4165 on 19 june 2021 were 30 40 34 14 41 and 12 while the supplementary numbers were 15 and 27. across australia there were 14 division one winning entries in saturday gold lotto draw 4165 five in queensland five in victoria two in new south wales one each in act and western australia. the lott s division one winning tally has now reached 213 so far this calendar year including 54 won by golden casket customers. in 2020 saturday gold lotto created 122 millionaires across australia. during this time there were 312 division one winning in saturday gold lotto entries across australia which collectively won more than million. there are more chances to win big with tuesday s oz lotto offering 5 million while thursday s powerball has 40 million up for grabs. tonight s set for life draw offers players the chance to win a division one prize of 20000 a month for 20 years that s 20k on replay set for life is the only game that allows you to play your numbers across seven consecutive daily draws meaning you have the chance to win 20k on replay every day of the week. the lucky lotteries mega jackpot prize is now million for draw 1537 while the lucky lotteries super jackpot prize is now million for draw 10472. tickets can be purchased at any licenced lottery outlet online from or via the lott mobile app. the home of australia s official lotteries the lott operates and markets australia s leading lottery games customers know and love creating everyday winners winning every day. """
labour,"germany is amazon s biggest market after the united states and the verdi union has been organising strikes at amazon in the country since 2013 to protest low pay and poor conditions. the pay increase is effective from july and compares with entry level pay as low as euros per hour for some locations though pay exceeded 12 euros in other locations. amazon s wages exceed germany s current minimum wage of euros per hour. but workers have regularly gone on strike such as last year to coincide with the trillion company s global prime day promotion event. they were disgruntled that a coronavirus bonus had been scrapped. a verdi official said that the increase was the least that the company could do after earning a pretty penny in recent months and that pay still fell short of its demands for many employees. amazon which saw net profit rise to billion in the first quarter more than tripling from billion the year earlier has faced similar criticism over conditions and pay throughout the globe. 1 euros . """
politics,"the idaho division of veteran services office of veterans advocacy will have a veteran service officer in orofino on wednesday june 9 and june 23 at the vfw hall 330 michigan avenue. the service officer will be available to assist veterans and their dependents with va benefit claims va medical center enrollment and various other types of va processes. the office will open at 9 and close at 3 those in need of these services should call the idaho division of veteran services lewiston region at 208 748 7663 to schedule an appointment. walk ins will only be seen as time allows. very important changes . when using our new mailing address the first line must be office of veterans advocacy . articles . rebecca jean beck 79 orofino . larry nygaard 89 formerly of orofino . black canyon snow slide update . trelawny j. bruce 78 orofino . highway 11 slide near headquarters may slow holiday traffic . notice city of orofino surplus sale . down memory lane for the week of may 26 2021 . arlene y. peel 85 lewiston . clarice moore 92 lewiston . pat bonner graveside service . videos . """
other,"hangzhou march 18 xinhua zhejiang province an e commerce heartland in east china reported a robust increase in online retail sales in the first two months this year. the online retail sales of the province in the period reached billion yuan about billion dollars up percent from the same period last year data from the provincial department of commerce showed. residents in the province home to the e commerce giant alibaba spent billion yuan on online shopping from january to february up 54 percent year on year. clothes shoes and bags home decorations as well as computers communication and consumer electronics ranked in the top categories in terms of online """
humanInterest,"bright coloured blossoms of an ornamental crab apple tree. blossoms that hang on the trees throughout the south peace or spring up on plants in gardens provide colour and a look to the future. many times the seasonal flowers point towards the promise of future fruit either for people or animals. spring blossoms provide colour and hope back to video . other times as in the case of flowers in a bed or planter it is the hoped for promise of nice summer weather with time spent in the yard gardening playing or relaxing. no matter the variety even the unwanted yellow flower of dandelions the blooms provide spring with its unique character while dulling peace country resident s memory of the past winter and pointing instead to summer which lies ahead. a nanking cherry blossom provides the promise of future randy vanderveen a chive bud sits on top of a stalk in preparation to bursting out into a purple flower soon. chives are one of the first fresh herbs put to use by cooks in the spring. photo randy vanderveen the bright colours of a marigold stand out in a newly planted display. the orange and yellow flowers flourish in direct sunlight. photo randy vanderveen mayday flowers hang from one of the more common trees used in landscaping in peace country farms both in farm and city randy vanderveen apple blossoms cling to the branches of a tree as they indicate the bounty of fall even early in the randy vanderveen a pansy adds a bright splash of colour to a flower bed. despite its name often used to denote weakness the flowers are actually quite hardy and do well in the peace. photo randy vanderveen apple blossoms cling to the branches of a tree as they indicate the bounty of fall even early in the randy vanderveen . """
religion,"cindy boynton demonstrates her ghost meter an electromagnetic field detector in milford june 6 2021. boynton will lead paranormal camps for kids this summer. ned gerard hearst connecticut media 2 3 . cindy boynton holds her ghost meter an electromagnetic field detector in milford june 6 2021. boynton will lead paranormal camps for kids this summer. ned gerard hearst connecticut media . cindy wolfe boynton creator of the popular spirits of milford ghost walks is offering ghost camp three hour one day sessions for children ages 11 18 to explore two sites in milford that are believed to be haunted. there will be plenty of ghost stories history lessons and scientific tools to measure paranormal activity. if you want to be a ghostbuster this is the summer program to go to she said. just like a spirits of milford ghost walk it s not scary some people may find it spooky. melissa okwuosa said she signed up her daughter olivia 13 because it s something different and fun for her to try. it can be hard to find activities that appeal to young teens. we have an interest belief and have had experiences with the paranormal supernatural so this seemed like it would be something fun as well as a learning experience okwuosa said. the kids learn the history of our area and of the energies around us and get a mystic adventure at the same time. we share the world with our ancestors so i am sure spirits are all around us more than we know. boynton a college professor and author of books that include connecticut witch trials the first panic in the new world and the new conjuring the devil my terrifying true story about working with paranormal investigators ed lorraine warren on the devil made me do it said campers will explore wilcox park where the paugussett indians are believed to haunt their former village. there are many ghosts stories associated with that area she said. they also will walk to milford cemetery to visit two sites the grave of andrew sanford who was accused of being a witch during connecticut s colonial witch trials and the monument that pays tribute to revolutionary war capt. stephen stow whose more than 300 year old spirit is said to have been captured in photos. campers will use professional ghost hunting tools such as emf detectors evp recorders and dowsing divining rods to be provided. they also will make their own ghost hunting pendulums and learn how to use them as well as a good luck evil eye bracelet that s said to provide spiritual protection. harnessing the energy from one s brain and nervous system makes the objects move and learning to use those tools is extremely empowering boynton said. it s about physics not hocus pocus boynton said. it really requires them to quiet their mind focus on a goal to tap into what science has proven. i tell people you are doing this tapping into . there is spiritual energy as well she said. as someone who is a college professor i m always looking for new tools and strategies to help my students believe in themselves boynton said. i say if you can make this dowsing rod move by using your mind what other amazing things can you do using your mind . she said they will look at the science versus the supernatural as is the case when any paranormal investigation is done. melanie olson is making the trek from woodstock to bring her son nathan 18. she signed up immediately when she found out about the program because he will be aging out. i looked it up and thought it would be a great time for nathan who has been interested in ghost hunting for a few years now she said. one of boynton s favorite things about her ghost walks is that she points out historical sites in milford and will do so in the camp. some of those include a cannon from the war of 1812 on the corner of broad and high streets and a grinding stone used in the 1600s in fowler s mill on the corner of new haven avenue and daniel street next to the memorial tower. campers also will hear stories about the infamous captain kidd and how the time he spent in milford led to charles island being cursed three times. signed up camper brady funk 14 is a third generation born and raised in milford. i find ghosts fascinating and i am interested in the history of milford brady said. his mother jennifer funk said brady loves the unknown and has always been fascinated with such thing ghosts bigfoot. asked whether she thought brady could get scared at the camp jennifer funk said he watched stranger things and was fine. boynton said the camp is during the day as opposed to the ghost walks at night and that s huge in terms of scare potential. while spirits of milford ghost camp is for the younger ones only there is an adult spirits of milford ghost hunt at milford cemetery june 25 for all ages from 8 10 30 as for the camp attendees must be at least 11 years old the sessions are three hours each and the times of the sessions vary 10 to 1 2 to 5 and 5 to 8 the sessions will take placebetween june 22 and aug. 7 and will begin near the entrance of wilcox park. for more information contact spirits of milford at 203 214 7554 or """
other,"at least 10 suspected anti asian hate crimes have been committed in new york city between january 1 and march 14 this year according to statistics from the new york police department s hate crime task force. ed jones afp getty images police officers hand out information leaflets advising how to report on hate crimes at a park in chinatown new york city on march 17 2021. the information highlights the recent spate of anti asian incidents felt in cities nationwide coinciding with the covid 19 pandemic that began last year. in 2020 there were 29 reported racially motivated crimes against people of asian descent in new york city and 24 of those were attributed to coronavirus motivation according to nypd data. racially motivated crimes against people of asian descent in 2019 totaled three. the nypd says it has increased its presence around predominantly asian communities and placed critical response command teams throughout the city in light of the shootings on tuesday in the atlanta area that left eight people dead six of them asian women. authorities in georgia are not calling the shootings a hate crime at this point and pointed to potential claims the suspect made that he has a sex addiction. new york city mayor bill de blasio said in a news briefing wednesday there was a major deployment of nypd counterterrorism forces in prominent asian communities noting wherever we get any reports of concern we re going to make sure to have real strong presence. three recent possible hate crimes are under investigation . just before 7 on monday a man in his 20 s approached a 41 year old asian woman at eighth avenue and west 37th avenue in midtown nyc according to the nypd. the man poured a liquid on the woman s neck and the packages she was carrying according to the police. the woman claims the man told her to go back to china before he left the scene. the woman who was uninjured reported the attack to the nypd police confirmed. the nypd asian hate crime task force is investigating the incident. in another incident on sunday a 25 year old woman told the nypd she was waiting to cross the street near east 22nd street and first avenue when a female suspect approached her and said you are n t from around here . go back to china which the victim told police made her fearful for her safety and caused annoyance and alarm. then the same suspect told a 31 year old man to go back to communist china which caused him to feel annoyed harassed and alarmed police told cnn. the nypd hate crime task force is investigating this incidents. the nypd additionally reported an incident on february 15 when a 27 year old man says he was pushed by an unknown individual while heading to his car. the alleged victim asked why he was pushed police said and the suspect made anti asian sic statements and punched the victim in the face. the nypd s asian hate crimes task force is investigating. david dee delgado getty images nypd officers hand out information about hate crimes in asian communities after mass shootings in atlanta left 8 dead including 6 asian americans on march 17 2021 continue reading show full articles without continue reading button for 0 hours. found the story interesting . like us on facebook to see similar stories . """
humanInterest,"editor s note every time we re needing rain we ll ask greg to write another dry weather column. as soon as he wrote this it rained across much of wisconsin. i waited to write about it i didn t want to perpetuate the trend by mentioning it. heat records were falling across wisconsin including in marathon county. we had a week of 90 plus temperatures and it was only early june. drought had been a concern in many parts of the state since less than normal snow totals melted in late february. finally the record june heat brought thunderstorms to much of the northern part of the state. for the first time since snow melted in february there were puddles june 10 on my red granite driveway. within days the woodlot flora turned heavy almost jungle like. some rows of corn in the area that were only a week prior threatened by frost stood in water. the air was cooler and grazing cattle were spread across lush pastures. with a second thundershower in as many days coming straight down on my 19 foot travel trailer sitting beneath a canopy of emerald hued maple leaves i finally felt free to write about how badly we needed the rain. i m not normally superstitious but when it comes to dry weather i let superstition creep in. after 30 years of pasture based dairying i m conditioned to being on edge when it s dry. i remember one old timer in my woodlot neighborhood saying all signs fail in dry weather. at first i didn t understand. then in the summer of 1988 i tired of hearing him say it. it was almost parrot like and it went on all summer during one of wisconsin s historically driest years. all signs fail in dry weather means just what it says. no matter the rain chances or direction of rain as told by doppler radar or one s favorite weather forecaster the water never falls on the earth. all indications that rain is coming fizzle. the year 1988 was when i first learned about farming in a drought. i experienced the frustration of knowing the calendar says it s time to make second crop hay but wondering if the scant alfalfa fields would yield enough to make it worthwhile. i learned about doubling tripling and quadrupling rows of cut hay with a side rake so they d be big enough to bale. i learned about ordering hay to be trucked from idaho to bolster my ravaged feed inventory so i could feed my 45 dairy cows. i recall buying a load of square bales from a farmer near iola wisconsin. first crop alfalfa from last year he described it over the phone. no grass just pure alfalfa. i spent more time sweeping stems from the feed manger than the cows did poking through it for leaf matter. it was all part of a learning process that had begun for me after graduating from an institute of higher learning. the year 2012 was also dry. in early september i began rationing the available grass on our 150 grazing acres in eastern marathon county. the cows were given strips of fresh grass along with supplemental silage twice daily. it lasted until deer hunting the pastures were grazed down hard. i was happy to have planted drought tolerant forage sorghum on rented acreage it went a long way toward feeding the herd that winter. i did a number of things to bring rain during dry stretches on the farm. i might leave a favorite sweatshirt hanging from a gate post figuring a good soaking would teach me a lesson. better yet i d leave my allis chalmers d 17 with the vinyl seat torn open exposing its foam interior outside rather than in the machine shed. that should make it rain for sure and i d be reminded every time i sat down to use the tractor for the next week. i never thought to leave the milk check outside overnight in an empty bucket. i bet that would have brought a gully washer. occasionally as rain approached i d sit with my guitar in the dining room leaving the door to our deck open to coax oncoming storms with minor chord progressions. soon the big fat raindrops would patter against the deck. at first they were scattered but then i d modulate to a different key and play a classic tune like midnight on the water to see if i could keep the rain coming. i treasure the memory of a mist of rain bouncing off the deck through the screen door onto my bare feet on the worn wooden floor. farming in a drought is stressful. hopefully some of those early june scattered storms reached your fields wherever you are friend. here s to timely rain for the rest of summer. see you in july when we can listen to the sound of tree frogs and july toads accompanied by a background of growing corn. greg galbraith a former dairy farmer who owns woodlot property in eastern marathon county wisconsin writes about the rapidly changing nature of the agricultural landscape. he has built a lifetime connection to the land and those who farm """
health,"you may have heard that the american heart association aha wants people to pay attention to obstructive sleep apnea osa especially if they have heart disease or risk factors such as high blood pressure. well i m going to tell you about it too. the aha put out a scientific statement in the journal circulation because osa can make heart disease symptoms worse. obstructive sleep apnea is when an obstruction disrupts your breathing at night. you might have symptoms like snoring or daytime sleepiness. in the statement the experts say that from 40 to 80 of people with heart disease have osa but it s under recognized an undertreated. obstructive sleep apnea can negatively impact patients health and increase the risk of cardiovascular events and death. this statement is to encourage increased awareness screening and treatment as appropriate for sleep apnea said dr. yerem yeghiazarians chair of the scientific statement writing group and professor of medicine at the university of california san francisco. risk factors for osa include high blood pressure heart rhythm issues worsening heart failure or coronary artery disease pulmonary hypertension metabolic syndrome or type 2 diabetes. the experts also say that if you re worried about having to take time to do a sleep study you might not have to. there are new ways to both diagnose and treat obstructive sleep apnea depending on severity of your """
other,"a coalition of states has filed a lawsuit against president joe biden and his administration over the president s decision to revoke a permit for the keystone xl pipeline. led by texas and montana 21 states have jointly filed a lawsuit against biden arguing that the president did not have the authority to unilaterally change an energy policy that congress had set when he revoked the permit on his first day in office. the lawsuit argues that only congress possesses the power to regulate interstate and international commerce including granting or rejecting permits for oil pipelines that cross an international border. since his first day in office president biden has made it his mission to undo all the progress of the previous administration with complete disregard for the constitutional limits on his power. his decision to revoke the pipeline permit is not only unlawful but will also devastate the livelihoods of thousands of workers their families and their communities paxton said in a statement on wednesday. this administration continues to tout imaginary green energy jobs without any recognition that their actions in the real world will make it impossible for hard working americans to put food on the table he added. the keystone kl which would be constructed as an extension to an existing pipeline system was designed by tc energy corporation to transport approximately 830000 barrels of oil from canada and montana to junctions in the middle of america and to refineries in houston. the permit to construct the mile stretch of the pipeline that was revoked was approved by president donald trump in 2019. the pipeline s construction and operation were modeled to create and sustain thousands of jobs and advance the united states to achieving energy independence. it was also designed to improve commercial relations with canada and provide tax revenues to high poverty areas. in his executive order signed in january biden said the revocation was necessary because the pipeline disserves the national interest. the united states and the world face a climate crisis the order stated. at home we will combat the crisis with an ambitious plan to build back better designed to both reduce harmful emissions and create good clean energy jobs. our domestic efforts must go hand in hand with diplomatic engagement. because most greenhouse gas emissions originate beyond our borders such engagement is more necessary and urgent than ever. leaving the keystone xl pipeline permit in place would not be consistent with my administration s economic and climate imperatives biden added. montana attorney general austin knudsen argued that there is no perceived environmental benefit to his actions. his attempt to cancel the keystone xl pipeline is an empty virtue signal to his wealthy coastal elite donors. it shows biden s contempt for rural communities in montana and other states along the pipeline s path that would benefit from and support the project knudsen said in a statement. other critics have said that the ban wouldn t stop oil being produced and that it would be transported by rail or truck instead of through the pipeline. texas states argue that biden had not consulted with them before making his decision nor did he consider the far reaching consequences his decision would impose on plaintiffs. the pipeline states as well as their counties local communities and school districts stood to gain tens of millions of dollars in tax revenue from the construction and operation of the keystone xl. the total estimated property tax from the keystone xl project in the first full year of operations would be approximately million spread across 27 counties in just three states montana south dakota and nebraska the lawsuit states pdf . these revenues would particularly benefit poorer rural areas providing a much needed influx of resources to fund important public and community services. revocation of the permit the states continued will cost them and their communities tens of millions of dollars in annual tax revenue and business and job opportunities for residents. the states are asking the federal court in texas to declare that the biden administration had acted unlawfully and unconstitutionally when he revoked the permit and seek to block the biden administration from enforcing its order to revoke the keystone xl permit. the other states who have joined in the lawsuit include alabama arizona arkansas georgia indiana kansas kentucky louisiana mississippi missouri nebraska north dakota ohio oklahoma south carolina south dakota utah west virginia and wyoming. """
